label,message
spam,Congratulations! You have won a $1000 Walmart gift card. Click here to claim now
spam,URGENT! Your account has been compromised. Verify your details immediately at this link
spam,You have been selected for a free iPhone 15. Claim your prize before midnight
spam,WINNER! You won the lottery of 50 lakh rupees. Send your bank details to collect
spam,Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 87121
spam,Get cheap loans instantly with no credit check. Apply now limited offer
spam,Your mobile number has won 2 crore in the international lucky draw
spam,Hot singles in your area are waiting to meet you. Click to chat now
spam,Limited time offer!!! Buy 1 get 3 free. Shop now before stock ends
spam,Your package is on hold. Pay a small customs fee of Rs 50 to release delivery
spam,Earn 5000 per day working from home. No experience needed. Join today
spam,FINAL NOTICE: Your subscription will be charged 999 unless you cancel here
spam,Claim your free Netflix subscription for 1 year. Offer valid today only
spam,You are pre-approved for a credit card with 5 lakh limit. Apply instantly
spam,Double your money in 30 days with our guaranteed investment plan
spam,Free recharge of Rs 500. Forward this message to 10 friends to activate
spam,Your ATM card is blocked. Call this number immediately to unblock
spam,Exclusive deal just for you! 90% off on all products. Hurry click now
spam,You have 1 unclaimed reward worth Rs 10000 expiring tonight
spam,Make money fast with crypto trading. Join our VIP group for free signals
ham,Hey are we still meeting for the project discussion at 5pm today
ham,Can you send me the notes from yesterday's machine learning lecture
ham,Mom asked if you are coming home this weekend for the festival
ham,The assignment deadline has been extended to Friday midnight
ham,I reached the library. Where are you sitting
ham,Don't forget to bring your laptop for the robotics workshop tomorrow
ham,Happy birthday! Hope you have an amazing day ahead
ham,The professor cancelled tomorrow's class. Check your email for details
ham,Can you review my resume before I apply for the internship
ham,Let's grab lunch after the exam gets over
ham,The train is delayed by 20 minutes. I'll reach by 6
ham,Did you complete the Python assignment? I'm stuck on question 3
ham,Meeting rescheduled to Monday 10am in the seminar hall
ham,Thanks for helping me with the project yesterday
ham,Please submit your internship report by end of this week
ham,Are you joining the coding competition next month
ham,I'll call you after dinner to discuss the presentation
ham,The lab session for tomorrow is shifted to computer lab 2
ham,Congrats on clearing the interview! When do you start
ham,Can you share the dataset link the professor mentioned in class
